,hwu64_id,utterance,true_intent,scenario,dataset,predicted_intent,confidence
0,6648,What is [date : tomorrow]'s alarm time set to?,alarm:query,alarm,valid,datetime:query,0.7791188955307007
1,5250,What alarms do I all have set,alarm:query,alarm,train_nlu,alarm:query,1.0
2,4975,what alarm do i have set for today,alarm:query,alarm,train_ms,alarm:query,0.8249936699867249
3,6559,then tap OK.,alarm:query,alarm,train_nlu,alarm:query,1.0
4,4570,What is wake up time?,alarm:query,alarm,train_ms,datetime:query,0.7904133796691895
5,3264,What time are my alarms?,alarm:query,alarm,train_ms,alarm:query,0.9292858242988586
6,1599,Review the alarms I have,alarm:query,alarm,valid,alarm:query,0.8974834680557251
7,7009,may i know the about alarm you set,alarm:query,alarm,valid,alarm:query,0.864928126335144
8,5249,Please list all my alarms,alarm:query,alarm,valid,alarm:query,0.8496547937393188
9,5816,check if any alarm is there after 5am,alarm:query,alarm,train_ms,alarm:set,0.6085118651390076
10,1766,AM or PM,alarm:query,alarm,valid,,0.0
11,4885,Review set alarms.,alarm:query,alarm,test,alarm:query,0.8436521887779236
12,4289,What time do I have my alarm set for tomorrow?,alarm:query,alarm,train_nlu,alarm:query,1.0
13,2039,What alarms are on right now?,alarm:query,alarm,test,alarm:query,0.8769832253456116
14,4599,What alarms do I have set right now?,alarm:query,alarm,valid,alarm:query,0.9072771668434144
15,7118,Are there any alarms currently set.,alarm:query,alarm,train_nlu,alarm:query,1.0
16,2684,what alarms are upcoming?,alarm:query,alarm,valid,alarm:query,0.9116222858428956
17,565,How many alarms are listed?,alarm:query,alarm,train_ms,alarm:query,0.8531123399734497
18,4569,Which alarms are set in the phone?,alarm:query,alarm,test,alarm:query,0.8258593082427979
19,3265,Is there an alarm for 10am?,alarm:query,alarm,train_ms,alarm:set,0.7862035632133484
20,45,what alarms I have set?,alarm:query,alarm,train_nlu,alarm:query,1.0
21,183,Show alarms,alarm:query,alarm,train_ms,alarm:query,0.8540377616882324
22,4291,What is the wake up time for my alarm I have set for the flight this weekend?,alarm:query,alarm,valid,alarm:query,0.8616563081741333
23,4976,what time will my alarm wake me up,alarm:query,alarm,train_nlu,alarm:query,1.0
24,397,What alarms do I have set?,alarm:query,alarm,train_ms,alarm:query,0.9270434975624084
25,6864,Check if alarm is set for 6 AM,alarm:query,alarm,test,alarm:set,0.6544964909553528
26,1435,"What alarms are set in the morning, PDA?",alarm:query,alarm,valid,alarm:query,0.8736133575439453
27,567,What's the alarm situation for tomorrow?,alarm:query,alarm,train_nlu,alarm:query,1.0
28,5681,What times are my alarms set for,alarm:query,alarm,test,alarm:query,0.8971729874610901
29,885,What alarms are set right now?,alarm:query,alarm,valid,alarm:query,0.8823767304420471
30,6096,"PDA, What alarms do you have set?",alarm:query,alarm,train_nlu,alarm:query,1.0
31,4378,Show me the alarms that are set.,alarm:query,alarm,train_nlu,alarm:query,1.0
32,4538,What time is my alarm set for tomorrow morning?,alarm:query,alarm,train_nlu,alarm:query,1.0
33,2172,have i set any alarm for today.,alarm:query,alarm,train_ms,alarm:set,0.7882941961288452
34,6865,Confirm I have set an alarm for 6 AM,alarm:query,alarm,train_nlu,alarm:query,1.0
35,5000,Have I set any alarms in the morning?,alarm:query,alarm,valid,alarm:query,0.834023118019104
36,2038,Have I got any alarms set?,alarm:query,alarm,train_nlu,alarm:query,1.0
37,6320,DID I SET MY HOUSE ALARM?,alarm:query,alarm,train_ms,alarm:query,0.7876971364021301
38,6483,Please see see for me the alarms that you have set Sunday morning.,alarm:query,alarm,train_nlu,alarm:query,1.0
39,1546,let me see my alarms PDA.,alarm:query,alarm,train_nlu,alarm:query,1.0
40,1353,PDA how many alarms do I have?,alarm:query,alarm,valid,alarm:query,0.9031410217285156
41,4598,Do I currently have any alarms set?,alarm:query,alarm,train_nlu,alarm:query,1.0
42,3470,show me my alarms i have set,alarm:query,alarm,train_ms,alarm:query,0.9168474674224854
43,5810,is there any alarm after 5 am,alarm:query,alarm,test,alarm:set,0.809288501739502
44,5100,<List all of my alarms>,alarm:query,alarm,valid,alarm:query,0.7929665446281433
45,4315,any alarms currently listed,alarm:query,alarm,test,alarm:query,0.8775714635848999
46,1434,PDA what alarms do I have scheduled for tomorrow?,alarm:query,alarm,train_ms,alarm:query,0.8503827452659607
47,566,Do I have any alarms set for tomorrow?,alarm:query,alarm,valid,alarm:query,0.912607192993164
48,4587,What alarm time had you set?,alarm:query,alarm,train_nlu,alarm:query,1.0
49,212,Did I set an alarm to wake up in the morning,alarm:query,alarm,train_nlu,alarm:query,1.0
50,6557,"Tap Start, and then select Settings.",alarm:query,alarm,valid,music:settings,0.5656545758247375
51,2298,What time is set for my wake-up alarm?,alarm:query,alarm,valid,alarm:query,0.8801800012588501
52,1093,Is my work alarm set for tomorrow?,alarm:query,alarm,test,alarm:query,0.797255277633667
53,6852,Are there any alarms set? What are they?,alarm:query,alarm,train_ms,alarm:query,0.8945505619049072
54,7010,please tell about the alarms,alarm:query,alarm,valid,alarm:query,0.8724014759063721
55,4413,Are there any alarms for today?,alarm:query,alarm,train_ms,alarm:query,0.8727537989616394
56,2964,Did I remember to set a reminder alarm for my next doctor's appointment,alarm:query,alarm,valid,calendar:query,0.6977699398994446
57,3469,do I have any alarms set for 6 am tomorrow?,alarm:query,alarm,train_ms,alarm:query,0.8471066355705261
58,4618,Let me know about any alarms set today.,alarm:query,alarm,train_nlu,alarm:query,1.0
59,6649,Show me what alarm times I've set for the week.,alarm:query,alarm,valid,alarm:query,0.8500763177871704
60,2962,Would you please check to see if I've set my alarm for tomorrow morning,alarm:query,alarm,train_ms,alarm:query,0.6931867599487305
61,3670,What time I am waking up tomorrow?,alarm:query,alarm,test,,0.0
62,2682,Alarm Status,alarm:query,alarm,train_nlu,alarm:query,1.0
63,4588,What time have you set the alarm?,alarm:query,alarm,train_ms,alarm:query,0.8409809470176697
64,5300,What are my alarms,alarm:query,alarm,train_ms,alarm:query,0.9197680950164796
65,5147,What alarms are coming up?,alarm:query,alarm,train_ms,alarm:query,0.8495818376541138
66,4600,Is my reminder alarm set for dance class?,alarm:query,alarm,valid,alarm:query,0.7332479357719421
67,512,do I have an alarm set,alarm:query,alarm,valid,alarm:query,0.8647404909133911
68,904,My alarms,alarm:query,alarm,valid,alarm:query,0.9285582900047302
69,6820,Tell me about the alarm timings.,alarm:query,alarm,test,alarm:query,0.8301864266395569
70,6962,Tell me time of alarm you set,alarm:query,alarm,train_nlu,alarm:query,1.0
71,5001,At what time is my alarm set?,alarm:query,alarm,train_nlu,alarm:query,1.0
72,4560,"Just to confirm, you set the alarm to go off at 8:00?",alarm:query,alarm,train_nlu,alarm:query,1.0
73,7117,What home alarms have been set?,alarm:query,alarm,train_nlu,alarm:query,1.0
74,4290,is the alarm to the backdoor set and ready to go?,alarm:query,alarm,train_nlu,alarm:query,1.0
75,3353,next alarm,alarm:query,alarm,valid,alarm:query,0.820027232170105
76,6851,List alll set alarms.,alarm:query,alarm,train_ms,alarm:query,0.8667280673980713
77,3455,What time is my wakeup alarm set for?,alarm:query,alarm,test,alarm:query,0.8911818861961365
78,1774,Show me my alarms,alarm:query,alarm,test,alarm:query,0.8920564651489258
79,2173,if there any alarm is set then let me know.,alarm:query,alarm,test,alarm:query,0.775592565536499
80,6819,Is there any alarm active?,alarm:query,alarm,test,alarm:query,0.7178221344947815
81,6866,Check if I have set any alarm for morning,alarm:query,alarm,valid,alarm:set,0.7176692485809326
82,46,Please list active alarms,alarm:query,alarm,train_nlu,alarm:query,1.0
83,667,do i have any alarms set for today,alarm:query,alarm,train_nlu,alarm:query,1.0
84,6951,Do i have alarms set before  6 in the morning?,alarm:query,alarm,train_ms,alarm:query,0.8548856973648071
85,6558,"Tap the System tab. Tap Clock, and then select the Alarms tab. Tap and select the day you want the alarm to sound. Double tap the time displayed on the extreme left to set a time for the alarm,",alarm:query,alarm,train_ms,alarm:query,0.8048000335693359
86,1881,Checkout today set alarm of 10 a.m.,alarm:query,alarm,train_nlu,alarm:query,1.0
87,4589,Let me know the alarm time.,alarm:query,alarm,train_ms,alarm:query,0.8228726983070374
88,1354,PDA is my alarm set for tomorrow morning?,alarm:query,alarm,train_ms,alarm:query,0.8318883776664734
89,5966,Did you set the alarm for 5 AM?,alarm:query,alarm,test,alarm:set,0.8694745302200317
90,6960,Let me know about the alarms you set,alarm:query,alarm,train_nlu,alarm:query,1.0
91,1740,Is the alarm set for tomorrow morning,alarm:query,alarm,valid,alarm:query,0.835367739200592
92,6321,WHAT ALARMS ARE SET IN THE HOUSE?,alarm:query,alarm,train_nlu,alarm:query,1.0
93,836,confirm my alarm settings,alarm:query,alarm,valid,alarm:query,0.7595444917678833
94,7008,would like to know the alarm you sent,alarm:query,alarm,train_nlu,alarm:query,1.0
95,47,Tell me about my alarms,alarm:query,alarm,test,alarm:query,0.9077383279800416
96,1094,What alarms do I have set for Thursday?,alarm:query,alarm,valid,alarm:query,0.8952485918998718
97,1738,Check whether I have set any alarms for tomorrow morning,alarm:query,alarm,valid,alarm:query,0.828837513923645
98,2683,Please check alarms,alarm:query,alarm,train_ms,alarm:query,0.838716983795166
99,1883,Checkout today alarm of meeting.,alarm:query,alarm,valid,alarm:query,0.7564458250999451
100,1564,remove the alarm for tomorrow,alarm:remove,alarm,test,alarm:remove,0.8682336807250977
101,5287,Do not wake me up tomorrow.,alarm:remove,alarm,test,,0.0
102,4894,Get rid of my wake up alarm set for Saturday.,alarm:remove,alarm,test,alarm:remove,0.7606200575828552
103,6950,Could you please remove the set of alarms between 8 and 9?,alarm:remove,alarm,train_nlu,alarm:remove,1.0
104,5510,Remove my 6 am alarm,alarm:remove,alarm,train_ms,alarm:remove,0.7716996669769287
105,6229,Remove 7am alarm.,alarm:remove,alarm,train_ms,alarm:remove,0.7514700293540955
106,5811,remove alarm if any,alarm:remove,alarm,valid,alarm:remove,0.8818368911743164
107,3596,remove all alarms set today,alarm:remove,alarm,test,alarm:remove,0.8547295928001404
108,940,Turn off the alarm for tomorrow morning,alarm:remove,alarm,train_ms,alarm:set,0.7510472536087036
109,5052,Disable the alarm at xx:xx am/pm,alarm:remove,alarm,train_ms,alarm:remove,0.8563379049301147
110,4335,Please delete the Wednesday evening alarm.,alarm:remove,alarm,test,alarm:remove,0.7209437489509583
111,6230,Delete my 8 pm alarm.,alarm:remove,alarm,test,alarm:remove,0.8670282959938049
112,6186,Remove all alarm of sunday,alarm:remove,alarm,valid,alarm:remove,0.8673096895217896
113,8902,remove tomorrow's alarm,alarm:remove,alarm,train_ms,alarm:remove,0.783406138420105
114,42,Cancel my 7am alarm,alarm:remove,alarm,valid,alarm:remove,0.6734329462051392
115,4470,"Olly, remove all of my alarms.",alarm:remove,alarm,train_nlu,alarm:remove,1.0
116,3351,reset alarm,alarm:remove,alarm,valid,alarm:query,0.7758644819259644
117,5511,remove my 8 pm alarm and set it to 7 pm,alarm:remove,alarm,test,alarm:remove,0.8115015625953674
118,5570,Turn off all alarms,alarm:remove,alarm,test,alarm:remove,0.9061297178268432
119,1819,Remove alarm of 7.30 a.m. on monday,alarm:remove,alarm,test,alarm:remove,0.8872362375259399
120,3775,remove the latest alarm,alarm:remove,alarm,train_ms,alarm:remove,0.8700357675552368
121,6301,ibset a ararl can you turn it off?,alarm:remove,alarm,test,iot:wemo_off,0.4619820415973663
122,1259,1PM REMOVED 1AM SET,alarm:remove,alarm,test,,0.0
123,2360,remove my 4 am alaram,alarm:remove,alarm,test,lists:remove,0.7316060662269592
124,4680,Disable all alarms set for today.,alarm:remove,alarm,train_nlu,alarm:remove,1.0
125,3459,delete my 6 am alarm,alarm:remove,alarm,valid,alarm:remove,0.7575647830963135
126,387,Delete the first aarm,alarm:remove,alarm,train_ms,lists:remove,0.7804599404335022
127,877,remove wake-up calls for this week,alarm:remove,alarm,train_ms,alarm:remove,0.8503108620643616
128,4471,"Olly, remove my wake up alarm.",alarm:remove,alarm,train_ms,alarm:remove,0.855677604675293
129,3181,Please cancel all alarms for tomorrow.,alarm:remove,alarm,train_ms,alarm:query,0.7283642292022705
130,1285,cancel my 3pm alarm,alarm:remove,alarm,train_nlu,alarm:remove,1.0
131,5568,Turn off my first alarm,alarm:remove,alarm,test,alarm:remove,0.7968891859054565
132,1057,Remove my alarm for tomorrow morning,alarm:remove,alarm,valid,alarm:remove,0.8606772422790527
133,3182,Please remove any alarms that I have set.,alarm:remove,alarm,test,alarm:remove,0.7982866764068604
134,3892,Turn off all of my alarms,alarm:remove,alarm,test,alarm:remove,0.8858280181884766
135,4679,Remove the alarm set for 4:00 am.,alarm:remove,alarm,train_ms,alarm:remove,0.834032416343689
136,3595,remove alarms set for tomorrow,alarm:remove,alarm,test,alarm:remove,0.8506593704223633
137,5136,Teach children to never answer the door when home alone.,alarm:remove,alarm,train_nlu,alarm:remove,1.0
138,1058,Please turn off my alarm for this evening,alarm:remove,alarm,train_ms,alarm:set,0.7873358726501465
139,1284,disable my 3PM alarm,alarm:remove,alarm,valid,alarm:remove,0.8964719176292419
140,4681,Snooze all today's alarms permanently.,alarm:remove,alarm,train_ms,alarm:query,0.8743822574615479
141,180,Remove the alarm,alarm:remove,alarm,test,alarm:remove,1.0
142,5634,"Echo, remove my work alarm",alarm:remove,alarm,valid,alarm:remove,0.7504087686538696
143,6567,disable the alarm which is set at 9:30pm,alarm:remove,alarm,test,alarm:remove,0.7677661180496216
144,6187,Remove no. 3 alarm of list.,alarm:remove,alarm,valid,alarm:remove,0.7052860260009766
145,7185,Forget alarm.,alarm:remove,alarm,valid,alarm:remove,0.8221501708030701
146,7184,Delete alarm.,alarm:remove,alarm,test,alarm:remove,0.9037344455718994
147,3809,pls turn off the alarm,alarm:remove,alarm,train_nlu,alarm:remove,1.0
148,6821,Reset the alarm.,alarm:remove,alarm,train_ms,alarm:remove,0.7480910420417786
149,5288,Do not wake me up on weekends.,alarm:remove,alarm,train_nlu,alarm:remove,1.0
150,5817,remove all alarms if any,alarm:remove,alarm,train_ms,alarm:remove,0.904697835445404
151,3594,remove all alarms,alarm:remove,alarm,train_nlu,alarm:remove,1.0
152,878,cancel wake-up calls for this week,alarm:remove,alarm,train_nlu,alarm:remove,1.0
153,987,phones,alarm:remove,alarm,train_nlu,alarm:remove,1.0
154,968,please delete my morning alarm,alarm:remove,alarm,train_nlu,alarm:remove,1.0
155,941,Turn off the 6AM alarm for Wednesday,alarm:remove,alarm,test,alarm:set,0.857413113117218
156,6302,will you turn the alarm off for me?,alarm:remove,alarm,test,alarm:remove,0.8282504081726074
157,4238,Please remove the alarm that is set for weekdays at 9.,alarm:remove,alarm,test,alarm:remove,0.7622618079185486
158,3566,cancel all alarms,alarm:remove,alarm,train_ms,alarm:remove,0.8354953527450562
159,5796,"Siri, cancel yoga alarms",alarm:remove,alarm,valid,alarm:query,0.6991674304008484
160,6231,Get rid of the 5 pm alarm.,alarm:remove,alarm,train_nlu,alarm:remove,1.0
161,1255,2AM REMOVED 4PM SET,alarm:remove,alarm,test,,0.0
162,3458,remove my early alarms,alarm:remove,alarm,train_ms,alarm:remove,0.9010820984840392
163,1565,Change the alarm weekly settings,alarm:remove,alarm,train_ms,alarm:remove,0.6374597549438477
164,4472,"Olly, get rid of my current alarms.",alarm:remove,alarm,valid,alarm:remove,0.7620679140090942
165,569,Cancel my 8AM alarm,alarm:remove,alarm,test,alarm:remove,0.7411313652992249
166,7183,Remove alarm.,alarm:remove,alarm,train_nlu,alarm:remove,1.0
167,6300,can you please remove the alarm,alarm:remove,alarm,train_ms,alarm:remove,1.0
168,4893,Delete the meeting alarm at 2 P.M. on Tuesday.,alarm:remove,alarm,train_ms,alarm:remove,0.7443563342094421
169,6566,pleaze remove the the alarm which i set,alarm:remove,alarm,test,alarm:remove,0.829311728477478
170,3567,cancel alarm for tomorrow,alarm:remove,alarm,train_ms,alarm:remove,0.6993884444236755
171,5286,Cancel my alarm for tomorrow morning.,alarm:remove,alarm,valid,alarm:remove,0.6873061656951904
172,3370,I would like this alarm permanently removed,alarm:remove,alarm,train_nlu,alarm:remove,1.0
173,1056,Delete my alarm for 8am,alarm:remove,alarm,test,alarm:remove,0.8478654026985168
174,5812,i dont want any alarms,alarm:remove,alarm,train_nlu,alarm:remove,1.0
175,5795,"Siri, cancel alarms",alarm:remove,alarm,test,alarm:remove,0.7507285475730896
176,6188,Remove alarm of 6 AM on Tuesday.,alarm:remove,alarm,valid,alarm:remove,0.8842366933822632
177,4334,Please remove the alarm set for Wednesday called kickball.,alarm:remove,alarm,train_ms,alarm:remove,0.833286702632904
178,988,personal data assistants,alarm:remove,alarm,train_ms,,0.0
179,568,Turn off 8AM alarm,alarm:remove,alarm,test,alarm:set,0.7365830540657043
180,3460,clear my 9 am alarms,alarm:remove,alarm,train_ms,alarm:remove,0.7441443800926208
181,5636,"Echo, remove Finlee's bedtime alarm",alarm:remove,alarm,valid,alarm:remove,0.8466027975082397
182,1820,Remove Tuesday alarm of 9.00 a. m.,alarm:remove,alarm,train_nlu,alarm:remove,1.0
183,5054,Set off this alarm,alarm:remove,alarm,train_nlu,alarm:remove,1.0
184,3296,Cancel alarm,alarm:remove,alarm,test,alarm:remove,0.8371493816375732
185,3295,Delete scheduled alarm,alarm:remove,alarm,train_ms,alarm:remove,0.7819863557815552
186,4237,I need to delete the alarm for church on Sundays at 11am.,alarm:remove,alarm,train_nlu,alarm:remove,1.0
187,5569,Take away my alarm for [date : tomorrow] at 4:30am,alarm:remove,alarm,train_nlu,alarm:remove,1.0
188,3369,Please remove this alarm,alarm:remove,alarm,test,alarm:remove,1.0
189,969,please remove my alarm,alarm:remove,alarm,train_nlu,alarm:remove,1.0
190,179,Delete the alarm I just set,alarm:remove,alarm,train_nlu,alarm:remove,1.0
191,4892,Remove my earliest alarm for tomorrow.,alarm:remove,alarm,train_ms,alarm:remove,0.8695915937423706
192,942,Turn off any morning alarms after Friday,alarm:remove,alarm,train_nlu,alarm:remove,1.0
193,3568,cancel alarm for 03/10/2017,alarm:remove,alarm,train_ms,alarm:remove,0.7001606822013855
194,3294,Remove set alarm,alarm:remove,alarm,valid,alarm:remove,0.75160813331604
195,4239,I no longer need the daily 5pm alarm.,alarm:remove,alarm,valid,alarm:remove,0.7828810811042786
196,44,Stop 7am alarm,alarm:remove,alarm,train_ms,alarm:set,0.703477144241333
197,4336,"Kickball is over, I do not need the alarm for kickball on Wednesday evening, any longer.",alarm:remove,alarm,train_ms,alarm:set,0.6385304927825928
198,1929,turn off the alarm,alarm:remove,alarm,valid,alarm:remove,1.0
199,386,Disable the first alarm,alarm:remove,alarm,train_ms,alarm:remove,0.8824959993362427
200,10071,Set alarm for tomorrow at 2 pm.,alarm:set,alarm,train_nlu,alarm:set,1.0
201,406,make an alarm for 4pm,alarm:set,alarm,valid,alarm:set,0.7190434336662292
202,3465,"If my package shows that it is for delivery tomorrow, can you set up an alarm 1 hour after? Thank you!",alarm:set,alarm,valid,alarm:set,0.707487940788269
203,210,alert me at 3pm to goto the concert,alarm:set,alarm,train_nlu,alarm:set,1.0
204,4811,Set an alarm for ten o'clock tomorrow morning.,alarm:set,alarm,train_nlu,alarm:set,1.0
205,5318,The set alarm for 9pm on Thursday night.,alarm:set,alarm,train_nlu,alarm:set,1.0
206,3562,set alarm for 03/06/2017 at 5am,alarm:set,alarm,train_nlu,alarm:set,1.0
207,1866,Set alarm of every Tuesday of march month morning 8 a. m.,alarm:set,alarm,train_ms,alarm:set,0.6087253093719482
208,1005,Set the alarm for five o'clock in the morning.,alarm:set,alarm,train_ms,alarm:set,0.8671289682388306
209,6042,fix alarm,alarm:set,alarm,valid,alarm:remove,0.8067263960838318
210,5763,6 am alarm please,alarm:set,alarm,train_nlu,alarm:set,1.0
211,10720,PDA name: make an alarm for 5pm on tuesday,alarm:set,alarm,train_ms,alarm:set,0.7329398393630981
212,10469,schedule an alarm for next weeks dentist appointment,alarm:set,alarm,test,alarm:set,0.802108883857727
213,1006,Set my alarm for 6:30 in the morning tomorrow,alarm:set,alarm,train_nlu,alarm:set,1.0
214,10239,set alarm for saturday,alarm:set,alarm,valid,alarm:set,0.8690766096115112
215,4033,Set an alarm for 7 am.,alarm:set,alarm,train_nlu,alarm:set,1.0
216,10269,set an alarm for 2pm,alarm:set,alarm,test,alarm:set,0.8652017116546631
217,5690,confirm that the alarm is set for [date : tomorrow],alarm:set,alarm,test,alarm:query,0.6531525254249573
218,3464,Mike will send me an email tomorrow. Can you please set up an alarm 15 minutes after receiving that email?,alarm:set,alarm,train_nlu,alarm:set,1.0
219,755,Schedule an alarm to wake me up after 3 hours.,alarm:set,alarm,train_nlu,alarm:set,1.0
220,2092,Set alarm at 5:00 am,alarm:set,alarm,test,alarm:set,0.8022116422653198
221,5391,Please set the alarm for,alarm:set,alarm,test,alarm:set,0.9212380051612854
222,7996,Set an alarm for the dance classes two hours before the classes start,alarm:set,alarm,test,alarm:set,0.8591287136077881
223,3561,can you set the alarm for 1:30,alarm:set,alarm,train_nlu,alarm:set,1.0
224,1865,Set alarm of only monday morning 6 a. m.,alarm:set,alarm,test,alarm:set,0.7152643203735352
225,5002,Postpone my alarm by 15 mins.,alarm:set,alarm,train_nlu,alarm:set,1.0
226,3532,Set a new alarm for that time,alarm:set,alarm,train_ms,alarm:query,0.7331771850585938
227,989,set my alarm for 7am,alarm:set,alarm,test,alarm:set,1.0
228,9047,Wake me up every weekday at 7,alarm:set,alarm,valid,alarm:set,0.6037032604217529
229,610,start alarm,alarm:set,alarm,test,alarm:remove,0.7228711843490601
230,2371,open alarm,alarm:set,alarm,train_ms,alarm:set,0.803198516368866
231,6075,Set the alarm for 5 AM,alarm:set,alarm,train_ms,alarm:set,0.9027976393699646
232,5580,Turn on my first scheduled alarm,alarm:set,alarm,test,alarm:remove,0.6708747148513794
233,8016,set an alarm at 10:00AM tomorrow and label it as meeting.,alarm:set,alarm,test,alarm:set,0.7240622639656067
234,409,change the time,alarm:set,alarm,test,datetime:convert,0.5951108336448669
235,4813,I need to get up at ten tomorrow.,alarm:set,alarm,train_ms,,0.0
236,5778,Create an alarm for 6am,alarm:set,alarm,train_ms,alarm:set,0.8855591416358948
237,10544,wake me for this alarm,alarm:set,alarm,train_nlu,alarm:set,1.0
238,3729,I need an alarm for 9pm.,alarm:set,alarm,test,alarm:set,0.8777074813842773
239,4035,Create an alarm for 5 pm.,alarm:set,alarm,train_nlu,alarm:set,1.0
240,6726,Set an alarm in an hour's time,alarm:set,alarm,train_nlu,alarm:set,1.0
241,4439,Set an alarm at 6 am.,alarm:set,alarm,train_ms,alarm:set,0.8550283312797546
242,8895,Set alarm for Saturday morning soccer practice at 8 AM,alarm:set,alarm,valid,alarm:set,0.794703483581543
243,9512,set the alarm for 7 am every day,alarm:set,alarm,train_ms,alarm:set,0.8750513792037964
244,2768,Set my alarm for time,alarm:set,alarm,train_ms,alarm:set,0.8367862105369568
245,7086,alarm,alarm:set,alarm,test,alarm:remove,0.8847379684448242
246,990,turn my morning alarm on,alarm:set,alarm,test,alarm:remove,0.8383659720420837
247,3728,Please set my alarm for 5pm.,alarm:set,alarm,test,alarm:set,0.8893956542015076
248,5477,Wake me up in 30 minutes.,alarm:set,alarm,valid,alarm:set,0.4818517565727234
249,2182,set alarm half an hour from my meal time.,alarm:set,alarm,train_ms,alarm:set,0.774657666683197
250,410,set alArm,alarm:set,alarm,train_ms,alarm:set,0.8421845436096191
251,6491,wake me at 7 am,alarm:set,alarm,valid,alarm:set,0.6854476928710938
252,6333,Turn on my alarm,alarm:set,alarm,test,alarm:remove,0.8431521058082581
253,6405,set alarm at 2am,alarm:set,alarm,test,alarm:set,0.8524189591407776
254,5028,remind me at 6:30 pm,alarm:set,alarm,valid,calendar:set,0.6778581738471985
255,4404,Set an alarm for 9PM,alarm:set,alarm,train_ms,alarm:set,0.889875054359436
