,hwu64_id,utterance,true_intent,scenario,dataset,predicted_intent,confidence
0,5149,Show me the alarms I've set.,alarm:query,alarm,test,alarm:query,0.9563304901123046
1,2173,if there any alarm is set then let me know.,alarm:query,alarm,test,alarm:query,0.976965856552124
2,1789,Can you tell me if I have any alarms set?,alarm:query,alarm,train_nlu,alarm:query,1.0
3,4976,what time will my alarm wake me up,alarm:query,alarm,test,alarm:query,0.7321806430816651
4,331,Please tell me my alarms,alarm:query,alarm,valid,alarm:query,0.9283510208129884
5,4599,What alarms do I have set right now?,alarm:query,alarm,train_ms,alarm:query,0.9665035247802736
6,1353,PDA how many alarms do I have?,alarm:query,alarm,test,alarm:query,0.8657251358032227
7,5299,List my different alarm,alarm:query,alarm,valid,alarm:remove,0.4687716245651245
8,6962,Tell me time of alarm you set,alarm:query,alarm,valid,alarm:query,0.6825694084167481
9,4378,Show me the alarms that are set.,alarm:query,alarm,train_nlu,alarm:query,1.0
10,3469,do I have any alarms set for 6 am tomorrow?,alarm:query,alarm,valid,alarm:query,0.7995153427124024
11,4538,What time is my alarm set for tomorrow morning?,alarm:query,alarm,test,alarm:query,0.8608731269836427
12,5383,please tell me what alarms are on.,alarm:query,alarm,train_ms,alarm:query,0.9641751766204834
13,4313,list current set alarms,alarm:query,alarm,valid,lists:createoradd,0.7422657489776612
14,5075,What's my next scheduled alarm?,alarm:query,alarm,test,calendar:query,0.5764220714569093
15,4314,what alarms are currently set,alarm:query,alarm,train_nlu,alarm:query,1.0
16,5100,<List all of my alarms>,alarm:query,alarm,test,alarm:query,0.6190430164337158
17,3176,Do I have alarms set for today?,alarm:query,alarm,valid,alarm:query,0.9340018272399904
18,2963,How many alarms do I have set for morning hours between 6 and 9 am,alarm:query,alarm,train_ms,alarm:query,0.8406758308410645
19,4617,What alarms did I set today.,alarm:query,alarm,train_nlu,alarm:query,1.0
20,3175,Do I have alarms set ?,alarm:query,alarm,valid,alarm:query,0.9584068298339844
21,903,Alarm settings,alarm:query,alarm,valid,alarm:set,0.6130737781524658
22,668,i need to set an alarm how many do i have set,alarm:query,alarm,test,alarm:query,0.8068442344665527
23,2359,when is the neat alaram,alarm:query,alarm,train_ms,alarm:query,0.6898923397064209
24,1434,PDA what alarms do I have scheduled for tomorrow?,alarm:query,alarm,test,alarm:query,0.674456262588501
25,1352,PDA when is my alarm set for?,alarm:query,alarm,train_ms,alarm:query,0.7352390289306641
26,1599,Review the alarms I have,alarm:query,alarm,train_ms,alarm:query,0.8911178588867188
27,6864,Check if alarm is set for 6 AM,alarm:query,alarm,train_nlu,alarm:query,1.0
28,7118,Are there any alarms currently set.,alarm:query,alarm,test,alarm:query,0.9793670177459716
29,6649,Show me what alarm times I've set for the week.,alarm:query,alarm,train_ms,alarm:query,0.8546222209930421
30,6648,What is [date : tomorrow]'s alarm time set to?,alarm:query,alarm,train_ms,datetime:query,0.4170024394989013
31,6559,then tap OK.,alarm:query,alarm,test,play:game,0.256260335445404
32,181,Show me the alarms I set,alarm:query,alarm,train_nlu,alarm:query,1.0
33,1600,List all the alarms,alarm:query,alarm,train_ms,alarm:query,0.5885544538497924
34,1774,Show me my alarms,alarm:query,alarm,test,alarm:query,0.8229261875152589
35,1093,Is my work alarm set for tomorrow?,alarm:query,alarm,train_ms,alarm:query,0.5671970844268799
36,2298,What time is set for my wake-up alarm?,alarm:query,alarm,valid,alarm:query,0.8293710231781006
37,1775,How many alarms do I have set?,alarm:query,alarm,valid,alarm:query,0.9396475315093996
38,5250,What alarms do I all have set,alarm:query,alarm,test,alarm:query,0.9419336795806884
39,6483,Please see see for me the alarms that you have set Sunday morning.,alarm:query,alarm,train_ms,alarm:query,0.9694437980651855
40,6097,"PDA, Are there any alarms set?",alarm:query,alarm,train_ms,alarm:query,0.9445477962493898
41,4560,"Just to confirm, you set the alarm to go off at 8:00?",alarm:query,alarm,train_nlu,alarm:query,1.0
42,4598,Do I currently have any alarms set?,alarm:query,alarm,train_nlu,alarm:query,1.0
43,3669,What time is my alarm set for?,alarm:query,alarm,train_ms,alarm:query,0.9024530410766602
44,567,What's the alarm situation for tomorrow?,alarm:query,alarm,test,alarm:remove,0.4698543787002563
45,4618,Let me know about any alarms set today.,alarm:query,alarm,test,alarm:query,0.9471251487731932
46,3948,What are the next three alarms set to go off?,alarm:query,alarm,test,alarm:query,0.9310792446136475
47,5099,<Show my alarms>,alarm:query,alarm,valid,alarm:query,0.8762364387512207
48,3353,next alarm,alarm:query,alarm,valid,alarm:remove,0.5303086519241333
49,6819,Is there any alarm active?,alarm:query,alarm,train_ms,alarm:query,0.8658003807067871
50,4315,any alarms currently listed,alarm:query,alarm,valid,alarm:query,0.7749816417694093
51,1766,AM or PM,alarm:query,alarm,train_ms,datetime:convert,0.2926693379878998
52,6484,See see for me the alarms that you have set [date : tomorrow] morning.,alarm:query,alarm,valid,alarm:query,0.8839896202087403
53,565,How many alarms are listed?,alarm:query,alarm,valid,alarm:query,0.8435266971588136
54,6650,Give me the alarm times for the next two days.,alarm:query,alarm,valid,alarm:query,0.3737736463546753
55,4414,How many alarams are set?,alarm:query,alarm,train_ms,alarm:query,0.9300684452056884
56,7577,Alarms,alarm:query,alarm,valid,alarm:query,0.9169992446899417
57,3455,What time is my wakeup alarm set for?,alarm:query,alarm,valid,alarm:query,0.890499258041382
58,6866,Check if I have set any alarm for morning,alarm:query,alarm,train_ms,alarm:query,0.9623378753662112
59,5818,check if default alarm is set,alarm:query,alarm,valid,alarm:query,0.8959243774414063
60,6952,Did i set an alarm to have tablets in the noon?,alarm:query,alarm,valid,alarm:query,0.5876041173934936
61,1354,PDA is my alarm set for tomorrow morning?,alarm:query,alarm,test,alarm:query,0.6390634536743165
62,3174,What alarms have been set for me?,alarm:query,alarm,valid,alarm:query,0.9486076354980468
63,6322,TELL ME IF MY ALARM IS SET FOR THE MORNING?,alarm:query,alarm,train_ms,alarm:query,0.9541146278381348
64,2297,Is my wake-up alarm set a 6 am?,alarm:query,alarm,train_ms,alarm:set,0.9350491523742676
65,834,confirm alarm for tomorrow morning,alarm:query,alarm,test,alarm:set,0.8310575008392334
66,4975,what alarm do i have set for today,alarm:query,alarm,train_ms,alarm:query,0.8539575099945069
67,212,Did I set an alarm to wake up in the morning,alarm:query,alarm,train_ms,alarm:set,0.8839388370513916
68,5001,At what time is my alarm set?,alarm:query,alarm,train_nlu,alarm:query,1.0
69,4885,Review set alarms.,alarm:query,alarm,train_nlu,alarm:query,1.0
70,1545,What alarms do I got PDA?,alarm:query,alarm,valid,alarm:query,0.8703772544860839
71,5681,What times are my alarms set for,alarm:query,alarm,train_nlu,alarm:query,1.0
72,5810,is there any alarm after 5 am,alarm:query,alarm,train_nlu,alarm:query,1.0
